model,stage,layer,head,tokens,mean,p50,p90,p99,p99_9,max,mean_delta_vs_orig,mean_gain_pct_vs_orig,p50_delta_vs_orig,p50_gain_pct_vs_orig,p90_delta_vs_orig,p90_gain_pct_vs_orig,p99_delta_vs_orig,p99_gain_pct_vs_orig,p99_9_delta_vs_orig,p99_9_gain_pct_vs_orig,max_delta_vs_orig,max_gain_pct_vs_orig
fireq_rpn,post,0,0,20480,7.066147804260254,6.954656600952148,7.974605560302734,9.520709037780762,10.337722778320312,10.679166793823242,-0.607367992401123,-9.403757522216798,-0.7430782318115234,-11.962792508634625,0.11069869995117188,1.3691346223709775,0.26691722869873047,2.7270884832706,0.23624515533447266,2.2342147887790778,0.3595428466796875,3.2571093759044336
orig,post,0,0,20480,6.458779811859131,6.211578369140625,8.085304260253906,9.787626266479492,10.573967933654785,11.03870964050293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,0,0,20480,6.5386481285095215,6.530277729034424,7.3963518142700195,8.002446174621582,8.109235763549805,8.10936450958252,-0.07986831665039062,-1.2365852216194515,-0.31869935989379883,-5.130730725013634,0.6889524459838867,8.521045390594258,1.7851800918579102,18.239152612230065,2.4647321701049805,23.30943488357138,2.92934513092041,26.53702494512708
fireq_rpn,post,0,1,20480,7.029333591461182,7.086565971374512,7.985179901123047,8.650043487548828,9.18673324584961,10.13251781463623,-0.09610223770141602,-1.3861103545794922,-0.11024951934814453,-1.5803399989993436,-0.04243135452270508,-0.5342150047147919,-0.09146308898925781,-1.0686712600684487,-0.023319244384765625,-0.254482056371543,-0.5241680145263672,-5.455338590195517
orig,post,0,1,20480,6.933231353759766,6.976316452026367,7.942748546600342,8.55858039855957,9.163414001464844,9.608349800109863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,0,1,20480,5.961080074310303,5.817071914672852,7.2151103019714355,7.9823527336120605,8.019209861755371,8.069389343261719,0.9721512794494629,14.021618922643954,1.1592445373535156,16.616857124031366,0.7276382446289062,9.16103840326596,0.5762276649475098,6.732748167493878,1.1442041397094727,12.486657696864539,1.5389604568481445,16.016907053389623
fireq_rpn,post,0,2,20480,6.989987373352051,7.004476547241211,9.16655158996582,10.309255599975586,10.428351402282715,10.433612823486328,-0.30951929092407227,-4.633197660777974,-0.3962130546569824,-5.995721192134838,-0.07645034790039062,-0.8410285635390764,-0.0010919570922851562,-0.010593129194636305,0.016510963439941406,0.15807736724349886,0.015543937683105469,0.1487578188210265
orig,post,0,2,20480,6.6804680824279785,6.6082634925842285,9.09010124206543,10.3081636428833,10.444862365722656,10.449156761169434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,0,2,20480,6.1689653396606445,6.13067102432251,7.831860542297363,8.019999504089355,8.158782005310059,8.217689514160156,0.511502742767334,7.656690166857757,0.47759246826171875,7.227200743397588,1.2582406997680664,13.841877733390042,2.2881641387939453,22.197592297379575,2.2860803604125977,21.887127664936244,2.2314672470092773,21.355476791215633
fireq_rpn,post,0,3,20480,6.3694000244140625,6.285734176635742,7.849308490753174,8.007943153381348,8.076885223388672,8.367568969726562,-1.6952104568481445,-36.26747337359115,-1.5944738388061523,-33.9881763957665,-2.267336368560791,-40.61891243681577,-1.7907757759094238,-28.80372470585799,-1.5086803436279297,-22.969447074904366,-0.8075041770935059,-10.681180641208028
