layer,head,tokens,stage,top_setter_dim,top_setter_dim_freq,top_setter_dim_frac_pct,top_setter_pair,top_setter_pair_freq,top_setter_pair_frac_pct,early_pair_tokens,late_pair_tokens,early_pair_frac_pct,late_pair_frac_pct,block0_frac_pct,block1_frac_pct,block2_frac_pct,block3_frac_pct,top_dims,top_pairs
0,0,20480,post,79,10566,51.591796875,39,10566,51.591796875,9740,10740,47.55859375,52.44140625,47.5,0.05859375,52.44140625,0.0,79:10566;1:4896;0:4832;66:158;67:16;48:7;49:2;58:2,39:10566;0:9728;33:174;24:9;29:2;22:1
0,1,20480,post,78,14847,72.4951171875,39,14847,72.4951171875,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,78:14847;77:4945;76:644;66:33;88:11,39:14847;38:5589;33:33;44:11
0,2,20480,post,78,12525,61.1572265625,39,12525,61.1572265625,599,19881,2.9248046875,97.0751953125,2.9248046875,0.0,96.9580078125,0.1171875,78:12525;83:4117;76:2942;1:313;0:267;77:207;72:28;94:26,39:12525;41:4117;38:3149;0:580;36:38;47:27;14:19;57:13
0,3,20480,post,78,15818,77.236328125,39,15818,77.236328125,62,20418,0.302734375,99.697265625,0.244140625,0.05859375,99.3310546875,0.3662109375,78:15818;83:3643;80:374;94:223;72:146;87:74;106:69;73:53,39:15818;41:3643;40:374;47:223;36:199;43:74;53:69;0:30
0,4,20480,post,79,19960,97.4609375,39,19960,97.4609375,362,20118,1.7675781250000002,98.232421875,1.767578125,0.0,98.232421875,0.0,79:19960;0:187;1:175;83:147;77:11,39:19960;0:362;41:147;38:11
0,5,20480,post,81,16256,79.375,40,16256,79.375,3,20477,0.0146484375,99.9853515625,0.0,0.0146484375,99.9609375,0.0244140625,81:16256;76:4135;79:37;83:24;84:11;77:9;115:5;63:3,40:16256;38:4144;39:37;41:24;42:11;57:5;31:3
0,6,20480,post,78,20480,100.0,39,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,78:20480,39:20480
0,7,20480,post,1,4252,20.76171875,0,8461,41.3134765625,17071,3409,83.3544921875,16.6455078125,83.3544921875,0.0,4.970703125,11.6748046875,1:4252;0:4209;8:1975;9:1930;127:1074;17:990;5:970;16:969,0:8461;4:3905;8:1959;2:1901;63:1074;60:738;54:579;6:553
1,0,20480,post,78,17199,83.9794921875,39,17199,83.9794921875,3268,17212,15.95703125,84.04296875,15.95703125,0.0,84.033203125,0.009765625,78:17199;1:1645;0:1623;85:11;102:2,39:17199;0:3268;42:11;51:2
1,1,20480,post,0,6590,32.177734375,0,13162,64.267578125,13716,6764,66.97265625,33.02734375,65.8984375,1.07421875,33.02734375,0.0,0:6590;1:6572;78:3678;80:3072;3:160;2:156;58:114;59:101,0:13162;39:3678;40:3072;1:316;29:215;42:11;5:9;8:4
1,2,20480,post,78,20480,100.0,39,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,78:20480,39:20480
1,3,20480,post,80,6542,31.943359375,40,6542,31.943359375,7399,13081,36.1279296875,63.87207031249999,35.966796875,0.1611328125,60.1806640625,3.69140625,80:6542;78:5084;2:2226;3:2150;1:1491;0:1442;109:742;86:569,40:6542;39:5084;1:4376;0:2933;54:742;43:569;45:129;5:53
1,4,20480,post,80,7534,36.787109375,0,12072,58.9453125,12946,7534,63.21289062499999,36.787109375,63.1884765625,0.0244140625,36.787109375,0.0,80:7534;0:6070;1:6002;3:369;2:313;5:100;4:87;60:3,0:12072;40:7534;1:682;2:187;30:5
1,5,20480,post,80,17170,83.837890625,40,17170,83.837890625,3007,17473,14.6826171875,85.3173828125,14.5751953125,0.107421875,85.263671875,0.0537109375,80:17170;1:1526;0:1459;67:192;66:88;57:12;101:11;78:11,40:17170;0:2985;33:280;28:21;50:11;39:11;29:1;38:1
1,6,20480,post,80,15386,75.126953125,40,15386,75.126953125,4745,15735,23.1689453125,76.8310546875,23.134765625,0.0341796875,76.8310546875,0.0,80:15386;0:2247;1:2233;78:338;2:133;3:122;84:11;34:4,40:15386;0:4480;39:338;1:255;42:11;17:7;3:3
1,7,20480,post,78,19629,95.8447265625,39,19629,95.8447265625,79,20401,0.3857421875,99.6142578125,0.1513671875,0.234375,99.6142578125,0.0,78:19629;82:328;94:134;89:131;67:129;66:43;46:19;1:18,39:19629;41:328;33:172;47:134;44:131;23:32;0:31;31:13
2,0,20480,post,80,20480,100.0,40,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,80:20480,40:20480
2,1,20480,post,80,20480,100.0,40,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,80:20480,40:20480
2,2,20480,post,77,13144,64.1796875,38,13149,64.2041015625,1,20479,0.0048828125,99.9951171875,0.0048828125,0.0,99.9951171875,0.0,77:13144;92:7330;76:5;5:1,38:13149;46:7330;2:1
2,3,20480,post,81,20480,100.0,40,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,81:20480,40:20480
2,4,20480,post,76,18044,88.10546875,38,20374,99.482421875,2,20478,0.009765625,99.990234375,0.0,0.009765625,99.8095703125,0.1806640625,76:18044;77:2330;69:62;99:21;97:5;127:4;90:2;44:2,38:20374;34:62;49:21;48:5;45:4;63:4;22:2;57:2
2,5,20480,post,121,2217,10.8251953125,60,3095,15.1123046875,3,20477,0.0146484375,99.9853515625,0.0,0.0146484375,8.720703125,91.2646484375,121:2217;108:2021;125:1595;126:1415;116:1192;119:1096;103:1015;120:878,60:3095;54:2608;63:1870;51:1808;62:1727;58:1412;59:1224;55:1043
2,6,20480,post,81,20480,100.0,40,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,81:20480,40:20480
2,7,20480,post,78,20469,99.9462890625,39,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,78:20469;92:11,39:20469;46:11
3,0,20480,post,81,20480,100.0,40,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,81:20480,40:20480
3,1,20480,post,77,18428,89.98046875,38,18836,91.97265625,82,20398,0.40039062499999994,99.599609375,0.361328125,0.0390625,99.599609375,0.0,77:18428;94:1545;76:408;1:34;0:29;67:11;66:6;8:6,38:18836;47:1545;0:63;33:17;4:10;23:8;1:1
3,2,20480,post,83,20480,100.0,41,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,83:20480,41:20480
3,3,20480,post,78,19817,96.7626953125,39,19817,96.7626953125,0,20480,0.0,100.0,0.0,0.0,96.9921875,3.0078125,78:19817;104:593;67:37;123:11;108:11;90:4;92:4;66:2,39:19817;52:593;33:39;61:11;54:11;45:4;46:4;63:1
3,4,20480,post,80,20469,99.9462890625,40,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,80:20469;88:11,40:20469;44:11
3,5,20480,post,81,20469,99.9462890625,40,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,99.9462890625,0.0537109375,81:20469;127:11,40:20469;63:11
3,6,20480,post,79,20461,99.9072265625,39,20461,99.9072265625,0,20480,0.0,100.0,0.0,0.0,99.9072265625,0.0927734375,79:20461;124:11;106:7;98:1,39:20461;62:11;53:7;49:1
3,7,20480,post,81,20480,100.0,40,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,81:20480,40:20480
4,0,20480,post,74,10819,52.8271484375,37,17151,83.7451171875,80,20400,0.390625,99.609375,0.1611328125,0.2294921875,97.021484375,2.587890625,74:10819;75:6332;85:2163;108:275;79:273;122:120;66:112;67:49,37:17151;42:2163;54:275;39:273;33:161;61:121;35:52;53:43
4,1,20480,post,79,20469,99.9462890625,39,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,99.9462890625,0.0537109375,79:20469;109:11,39:20469;54:11
4,2,20480,post,79,20469,99.9462890625,39,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,99.9462890625,0.0537109375,79:20469;109:11,39:20469;54:11
4,3,20480,post,91,17916,87.48046875,45,17916,87.48046875,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,91:17916;76:2564,45:17916;38:2564
4,4,20480,post,80,20462,99.912109375,40,20462,99.912109375,0,20480,0.0,100.0,0.0,0.0,99.912109375,0.087890625,80:20462;104:18,40:20462;52:18
4,5,20480,post,82,20480,100.0,41,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,82:20480,41:20480
4,6,20480,post,79,20469,99.9462890625,39,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,79:20469;92:11,39:20469;46:11
4,7,20480,post,81,20469,99.9462890625,40,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,99.9462890625,0.0537109375,81:20469;106:11,40:20469;53:11
5,0,20480,post,84,19569,95.5517578125,42,19569,95.5517578125,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,84:19569;79:911,42:19569;39:911
5,1,20480,post,77,8646,42.216796875,38,9305,45.4345703125,202,20278,0.986328125,99.013671875,0.0,0.986328125,73.49609375,25.517578125,77:8646;92:5659;103:2498;97:1482;123:1078;76:659;58:104;59:73,38:9305;46:5663;51:2499;48:1483;61:1080;29:177;45:47;58:34
5,2,20480,post,122,7959,38.8623046875,61,9416,45.9765625,0,20480,0.0,100.0,0.0,0.0,18.6328125,81.3671875,122:7959;75:2580;115:2018;123:1457;74:871;127:622;98:513;99:403,61:9416;37:3451;57:2229;49:916;63:706;59:491;62:432;55:369
5,3,20480,post,89,19780,96.58203125,44,19780,96.58203125,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,89:19780;77:700,44:19780;38:700
5,4,20480,post,77,17186,83.916015625,38,19274,94.111328125,29,20451,0.1416015625,99.8583984375,0.1025390625,0.0390625,96.298828125,3.5595703125,77:17186;76:2088;112:558;68:334;89:100;111:94;122:17;106:11,38:19274;56:558;34:344;44:100;55:94;61:19;53:17;15:10
5,5,20480,post,79,19878,97.060546875,39,19902,97.177734375,0,20480,0.0,100.0,0.0,0.0,97.5537109375,2.4462890625,79:19878;101:293;102:93;104:82;67:42;78:24;84:10;121:7,39:19902;50:293;51:94;52:86;33:48;42:10;60:8;55:7
5,6,20480,post,76,18598,90.810546875,38,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,99.9462890625,0.0537109375,76:18598;77:1871;117:11,38:20469;58:11
5,7,20480,post,77,15509,75.7275390625,38,15657,76.4501953125,0,20480,0.0,100.0,0.0,0.0,76.6357421875,23.3642578125,77:15509;107:4785;76:148;67:36;66:2,38:15657;53:4785;33:38
6,0,20480,post,88,20479,99.9951171875,44,20479,99.9951171875,0,20480,0.0,100.0,0.0,0.0,99.9951171875,0.0048828125,88:20479;123:1,44:20479;61:1
6,1,20480,post,85,20480,100.0,42,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,85:20480,42:20480
6,2,20480,post,78,20425,99.7314453125,39,20425,99.7314453125,3,20477,0.0146484375,99.9853515625,0.0146484375,0.0,99.9853515625,0.0,78:20425;90:52;1:2;0:1,39:20425;45:52;0:3
6,3,20480,post,99,10521,51.3720703125,49,10524,51.38671875,21,20459,0.1025390625,99.8974609375,0.0048828125,0.09765625,43.0810546875,56.81640625,99:10521;77:8618;121:1088;76:191;112:24;78:14;61:14;60:6,49:10524;38:8809;60:1088;56:24;30:20;39:14;0:1
6,4,20480,post,81,20480,100.0,40,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,81:20480,40:20480
6,5,20480,post,77,17964,87.71484375,38,19846,96.904296875,258,20222,1.259765625,98.740234375,0.0048828125,1.2548828125,97.4609375,1.279296875,77:17964;76:1882;109:171;44:128;45:128;111:87;66:64;90:47,38:19846;22:256;54:171;55:87;33:64;45:47;52:4;47:3
6,6,20480,post,79,14481,70.7080078125,39,14481,70.7080078125,5,20475,0.0244140625,99.9755859375,0.0,0.0244140625,70.8740234375,29.1015625,79:14481;104:3114;114:2643;105:48;116:41;93:15;112:14;99:14,39:14481;52:3162;57:2653;58:41;46:28;56:27;49:17;50:12
6,7,20480,post,77,14242,69.541015625,38,15853,77.4072265625,560,19920,2.734375,97.265625,0.107421875,2.626953125,79.755859375,17.509765625,77:14242;100:2548;76:1611;96:547;67:454;114:435;45:292;44:237,38:15853;50:2548;48:547;22:529;33:456;57:435;0:22;58:16
7,0,20480,post,87,15615,76.2451171875,43,15615,76.2451171875,3,20477,0.0146484375,99.9853515625,0.0146484375,0.0,99.9853515625,0.0,87:15615;77:4700;90:149;76:13;0:2;1:1,43:15615;38:4713;45:149;0:3
7,1,20480,post,82,20430,99.755859375,41,20430,99.755859375,0,20480,0.0,100.0,0.0,0.0,99.755859375,0.244140625,82:20430;109:50,41:20430;54:50
7,2,20480,post,85,18133,88.5400390625,42,18133,88.5400390625,18,20462,0.087890625,99.912109375,0.0,0.087890625,99.912109375,0.0,85:18133;78:2329;60:10;61:8,42:18133;39:2329;30:18
