ctx_len,requested_depth,actual_depth,seed,needle_kind,answer,prediction_raw,prediction_extracted,correct,truncated,prompt_tokens,tokens_evaluated,tokens_cached,predicted_tokens,latency_ms,prompt_ms,predicted_ms,prompt_tps,predicted_tps,stop_type,filler_chunks
2048,0.1,0.11513647642679901,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

This",lucas,True,False,2015,2015,2030,16,741.2328720092773,618.358,119.004,3258.630113946937,134.4492622096736,limit,99
2048,0.1,0.11249377799900448,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

This",jules,True,False,2009,2009,2024,16,830.3823471069336,702.334,123.65,2860.4624010798284,129.3974929235746,limit,99
2048,0.1,0.11171797418073486,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

The",jules,True,False,2014,2014,2029,16,992.2683238983154,857.433,130.421,2348.87157363899,122.67962981421704,limit,99
2048,0.1,0.11464019851116625,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

Several",nora,True,False,2015,2015,2030,16,1149.5203971862793,1011.411,133.903,1992.2662498232667,119.48948119160886,limit,99
2048,0.1,0.11502231036192365,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,2017,2017,2032,16,1389.8277282714844,1090.054,133.45,1850.3670460362514,119.89509179467967,limit,99
2048,0.3,0.31116625310173696,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

This",lucas,True,False,2015,2015,2030,16,1384.4034671783447,1082.505,133.543,1861.4232728717188,119.81159626487349,limit,99
2048,0.3,0.3091090094574415,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

This",jules,True,False,2009,2009,2024,16,1382.0843696594238,1080.278,133.23,1859.7064829608676,120.09307213090146,limit,99
2048,0.3,0.30784508440913605,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

The",jules,True,False,2014,2014,2029,16,1381.5348148345947,1085.762,133.833,1854.9184812141152,119.5519789588517,limit,99
2048,0.3,0.31066997518610423,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

Several",nora,True,False,2015,2015,2030,16,1312.7007484436035,1015.795,133.44,1983.6679645007114,119.90407673860912,limit,99
2048,0.3,0.3108577094695092,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,2017,2017,2032,16,1403.348445892334,1103.186,134.204,1828.3408237595474,119.22148371136478,limit,99
2048,0.5,0.5071960297766749,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

This",lucas,True,False,2015,2015,2030,16,1389.559030532837,1091.274,133.771,1846.4656905598413,119.60738874643982,limit,99
2048,0.5,0.5057242409158785,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

This",jules,True,False,2009,2009,2024,16,1381.5374374389648,1089.362,133.67,1844.198714476914,119.69776314805118,limit,99
2048,0.5,0.5039721946375373,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

The",jules,True,False,2014,2014,2029,16,1390.946626663208,1092.993,133.576,1842.6467507111208,119.78199676588609,limit,99
2048,0.5,0.5066997518610422,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

Several",nora,True,False,2015,2015,2030,16,1317.2602653503418,1022.161,133.867,1971.3137167236866,119.5216147370151,limit,99
2048,0.5,0.5066931085770947,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,2017,2017,2032,16,1259.8216533660889,1122.518,134.326,1796.8531462301717,119.11320220954991,limit,99
