layer,head,pair,dim0,dim1,source,n_tokens_used,shape_label,orientation_label,r_mean,r_median,q99,q99_5,q99_9,r_max,ratio_max_q99,ratio_max_q99_5,ratio_max_q99_9,clip_tau,clip_reduction_frac,clip_fraction_at_tau,tail_label,shape_aware_action
29,0,60,120,121,raw_post,20480,isotropic_scatter,axis_like,1.5655501445479643,1.4899930083095767,3.6315062276791155,3.938319860098626,4.684904917961315,12.837969850103978,3.535163936179915,3.2597580456003086,2.7402839705209114,4.684904917961315,0.6350743168380808,0.001025390625,strong_clip,strong_clip
20,4,40,80,81,raw_post,20480,isotropic_scatter,intermediate,1.606481124197952,1.5501983907514965,3.5697456046756746,3.803917104119015,4.3020354596860875,11.444483086359494,3.2059660137600394,3.0086047548110355,2.6602484320746576,4.3020354596860875,0.6240952581935642,0.001025390625,strong_clip,strong_clip
4,7,36,72,73,raw_post,20480,isotropic_scatter,axis_like,1.4202490419535856,1.3202765503543932,3.54213307810197,3.7629916123416605,4.26370714418167,8.949609728081231,2.526615892386749,2.3783230604949464,2.099020740740608,4.26370714418167,0.523587365960393,0.001025390625,strong_clip,strong_clip
29,0,54,108,109,raw_post,20480,isotropic_scatter,intermediate,1.5442781138457902,1.4573192342946155,3.786010875087582,4.100739298836298,4.908791585497567,10.248787448093795,2.7070147937323896,2.499253598248048,2.087843264393747,4.908791585497567,0.5210368435916223,0.001025390625,strong_clip,strong_clip
29,6,46,92,93,raw_post,20480,isotropic_scatter,intermediate,0.6795520338977517,0.6093502686504926,1.9723335581267591,2.1870401983675105,2.584889102086834,5.117002414410129,2.594389976951995,2.339692895553384,1.97958295784491,2.584889102086834,0.49484309508874613,0.001025390625,clip_recommended,clip_recommended
9,3,38,76,77,raw_post,20480,isotropic_scatter,axis_like,1.4834588743861843,1.3957904289961554,3.6679891443589034,3.930130241112648,4.6980954161542705,9.047951689588873,2.4667334971544164,2.302201488118453,1.9258765282794688,4.6980954161542705,0.48075591279292673,0.001025390625,clip_recommended,clip_recommended
0,3,60,120,121,raw_post,20480,elongated,intermediate,0.8082857162794246,0.6871954772530842,1.9305739100261674,1.930573978531902,1.9305740554811308,3.630990629264835,1.8807830202240845,1.8807829534851643,1.8807828785205198,1.9305740554811308,0.46830651670615486,0.001025390625,clip_recommended,clip_and_check_rotation
26,1,56,112,113,raw_post,20480,isotropic_scatter,already_diagonal,1.3951011931008546,1.2791666901059489,3.67528307504175,3.987088413436287,4.82875417595784,8.896656657575223,2.420672496763847,2.2313667857461947,1.8424331273418917,4.82875417595784,0.4572394595169289,0.001025390625,clip_recommended,clip_recommended
29,6,40,80,81,raw_post,20480,isotropic_scatter,already_diagonal,0.6750958682436101,0.6131242735092125,1.8614051311574271,2.078076042439957,2.5997216023239336,4.77950893408512,2.5676887068175254,2.2999682574047178,1.838469522972244,2.5997216023239336,0.4560693079190645,0.001025390625,clip_recommended,clip_recommended
5,6,55,110,111,raw_post,20480,isotropic_scatter,already_diagonal,1.3122860857758338,1.26233427671202,3.063243712752191,3.327844899444433,3.8821100584877257,6.868249963226306,2.2421493708234803,2.0638732184823056,1.7692053702109183,3.8821100584877257,0.43477449433652604,0.001025390625,clip_recommended,clip_recommended
