layer,head,bucket_index,bucket_pair_lo,bucket_pair_hi,bucket_pairs,base_alpha,chosen_bucket_alpha,residual_gamma,head_fakeq_err_before,head_fakeq_err_after,head_fakeq_err_delta,head_fakeq_err_gain_pct
0,0,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,7.291212902453414,7.1870080606763995,0.1042048417770145,1.4291839118008844
0,0,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,7.291212902453414,7.2702636641421705,0.020949238311243512,0.287321719877283
0,0,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,7.291212902453414,7.265086678371219,0.026126224082195115,0.35832480043757775
0,0,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,7.291212902453414,7.180188242391547,0.11102466006186695,1.5227186689955023
0,1,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,6.057841867290091,5.136613585570111,0.92122828171998,15.207202530231799
0,1,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,6.057841867290091,5.776528846625213,0.28131302066487773,4.643782832692528
0,1,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,6.057841867290091,6.046452530821229,0.011389336468861977,0.1880098014832611
0,1,3,56,63,"56,57,58,59,60,61,62,63",8.0,6.400000095367432,0.800000011920929,6.057841867290091,6.0159055197758695,0.041936347514221595,0.692265470656489
0,2,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,6.669558686345701,6.472539672923236,0.19701901342246497,2.9540037457922588
0,2,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,6.669558686345701,6.5316010836556115,0.13795760269008905,2.068466733376583
0,2,2,48,55,"48,49,50,51,52,53,54,55",8.0,6.400000095367432,0.800000011920929,6.669558686345701,6.574105490704196,0.09545319564150478,1.4311770857781339
0,2,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,6.669558686345701,6.566903946325203,0.10265474002049757,1.5391534110144076
0,3,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,6.735253500821962,6.520576820412716,0.21467668040924615,3.187358580980616
0,3,1,40,47,"40,41,42,43,44,45,46,47",8.0,7.199999809265137,0.8999999761581421,6.735253500821962,6.62904582934876,0.10620767147320187,1.5768919679153934
0,3,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,6.735253500821962,6.665812362870115,0.0694411379518467,1.0310100123680896
0,3,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,6.735253500821962,6.699894917900944,0.03535858292101768,0.5249777594370065
0,4,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,6.699041212292895,6.481208492635382,0.21783271965751272,3.2516999486103275
0,4,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,6.699041212292895,6.633145471704796,0.06589574058809866,0.9836592804829811
0,4,2,48,55,"48,49,50,51,52,53,54,55",8.0,6.400000095367432,0.800000011920929,6.699041212292895,6.548044044972566,0.15099716732032853,2.2540116195022843
0,4,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,6.699041212292895,6.655068098276908,0.04397311401598625,0.6564090684394444
0,5,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,6.641001220529783,6.439203425383219,0.2017977951465637,3.0386652320245378
0,5,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,6.641001220529783,6.427897441159748,0.21310377937003544,3.2089104081362474
0,5,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,6.641001220529783,6.558230717954414,0.08277050257536889,1.2463557802021592
0,5,3,56,63,"56,57,58,59,60,61,62,63",8.0,6.400000095367432,0.800000011920929,6.641001220529783,6.469858706807346,0.17114251372243672,2.577058910836699
0,6,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,5.519181058970853,5.067671892184654,0.4515091667861988,8.180727574652
0,6,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,5.519181058970853,5.442065464831066,0.07711559413978719,1.397228924288393
0,6,2,48,55,"48,49,50,51,52,53,54,55",8.0,7.199999809265137,0.8999999761581421,5.519181058970853,5.514353089788437,0.004827969182415792,0.08747618769578926
0,6,3,56,63,"56,57,58,59,60,61,62,63",8.0,7.199999809265137,0.8999999761581421,5.519181058970853,5.509264271367299,0.009916787603553523,0.17967860625689783
0,7,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,7.687227288821241,7.546743644021279,0.14048364479996156,1.82749435552989
