layer,head,pair,dim0,dim1,pre_spread,pre_anisotropy,pre_mean_compactness,pre_balance,pre_mu_norm,pre_mu_angle,pre_pca_angle,pre_lam1,pre_lam2,post_spread,post_anisotropy,post_mean_compactness,post_balance,post_mu_norm,post_mu_angle,post_pca_angle,post_lam1,post_lam2,mu_drift,pca_drift,shape_label,shape_source,orientation_source,orientation_label,base_angle_rad,base_angle_deg,diag_distance_rad,diag_distance_deg,axis_distance_rad,axis_distance_deg,target_diag_angle_rad,target_diag_angle_deg,suggested_alpha_rad,suggested_alpha_deg,fakeq_err_before,fakeq_err_after,fakeq_err_delta,fakeq_err_gain_pct,orig_suggested_alpha_rad,orig_suggested_alpha_deg,best_alpha_frac,rpn_alpha,fakeq_rpn_err_before,fakeq_rpn_err_after,fakeq_rpn_err_delta,fakeq_rpn_err_gain_pct,fakeq_rpn_p99_before,fakeq_rpn_p99_after,fakeq_rpn_p99_delta,fakeq_rpn_p99_gain_pct
0,0,39,78,79,0.19309394722586298,0.9867970340524119,0.9947685672226906,0.07553589344024658,6.059475483383925,1.5313402635131146,1.4960070118678324,0.19181924082140217,0.0012747064044608177,1.6204973764326498,0.7563721503799337,0.9560963753131889,0.4555623531341553,5.940524802164985,1.876004365328288,-2.832685528890821,1.4230982308654052,0.19739914556724467,0.34466410181517343,1.1870998871688598,elongated,post,post_mean,intermediate,1.876004365328288,107.48713248142953,0.48019012486405677,27.512867518570467,0.3052080385333915,17.487132481429533,2.356194490192345,135.0,0.4801901249,27.5128675186,7.0557179624,6.5148353308,0.5408826317,7.665877,0.48019012486405677,27.512867518570467,1.000000,8.000000,7.9426448336,7.7513870385,0.1912577951,2.407986,11.2561718800,11.2160892074,0.0400826726,0.356095
0,0,44,88,89,0.15061594937327613,0.6530325232448506,0.8745289024197602,0.7726897597312927,1.0245914249132506,0.8621116612733545,1.610024441618783,0.12448653141703918,0.026129417956236953,0.15579884186549095,0.6206377810600675,0.870211271031044,0.7016782164573669,1.0220590187107967,0.9855397711168071,1.759689474435644,0.12624674468661912,0.029552097178871823,0.12342810984345265,0.14966503281686094,isotropic_scatter,post,post_mean,already_diagonal,0.9855397711168071,56.4672694272822,0.20014160771935885,11.467269427282199,0.5852565556780894,33.5327305727178,0.7853981633974483,45.0,-0.1000708039,-5.7336347136,7.0557179624,7.0163321876,0.0393857749,0.558211,-0.20014160771935885,-11.467269427282199,0.500000,8.000000,7.9426448336,7.9377811482,0.0048636854,0.061235,11.2561718800,11.3031361090,-0.0469642290,-0.417231
0,0,45,90,91,0.20998638495447375,0.7738238524964859,0.858294834298392,0.6588473320007324,1.1277711401110397,2.6457482805092893,2.0649935417103227,0.1862394291662643,0.02374695578820945,0.2148312489460274,0.7421367765080318,0.8550253664666667,0.5805642008781433,1.1256210768413202,2.7464515699776815,2.150489187651616,0.1871327097663844,0.027698539179642986,0.10070328946839213,0.0854956459412932,elongated,post,post_mean,intermediate,2.7464515699776815,157.36008359680002,0.3902570797853366,22.36008359680002,0.39514108361211164,22.639916403199976,2.356194490192345,135.0,-0.1951285399,-11.1800417984,7.0557179624,7.0348550968,0.0208628657,0.295687,-0.3902570797853366,-22.36008359680002,0.500000,8.000000,7.9426448336,7.9351363805,0.0075084531,0.094533,11.2561718800,11.2715680127,-0.0153961327,-0.136779
0,0,48,96,97,0.4227566154222003,0.49144389006640654,0.7240311450341427,0.6694605946540833,1.0531586386893637,-0.6922138077253286,2.8249706514543957,0.3152588855285428,0.10749772989365747,0.423538648037706,0.4886979319525621,0.7235206415702451,0.6509941220283508,1.0527872807391303,-0.6375830323008448,2.881382877371253,0.3152605547181029,0.10827809331960317,0.0546307754244838,0.05641222591685713,isotropic_scatter,post,post_mean,already_diagonal,-0.6375830323008448,-36.53081683999165,0.1478151310966035,8.469183160008352,0.6375830323008448,36.53081683999165,-0.7853981633974483,-45.0,-0.0739075655,-4.2345915800,7.0557179624,7.0485908681,0.0071270943,0.101012,-0.1478151310966035,-8.469183160008352,0.500000,8.000000,7.9426448336,7.9405226624,0.0021221712,0.026719,11.2561718800,11.2611769861,-0.0050051061,-0.044465
0,0,52,104,105,0.22321938848975853,0.7666758895451568,0.893524246390162,0.7920715808868408,1.3686543014684864,2.4641559726287947,1.908070562894815,0.19717815586231838,0.02604123262744016,0.22362789759861476,0.7642680375186529,0.8933293911200717,0.777581512928009,1.3685050828784324,2.488139133856248,1.93050549212065,0.1972697760157473,0.02635812158286747,0.023983161227453476,0.02243492922583501,elongated,post,post_mean,already_diagonal,2.488139133856248,142.55987121129922,0.13194464366390335,7.559871211299221,0.6534535197335449,37.440128788700775,2.356194490192345,135.0,-0.0659723218,-3.7799356056,7.0557179624,7.0432502486,0.0124677138,0.176704,-0.13194464366390335,-7.559871211299221,0.500000,8.000000,7.9426448336,7.9406582316,0.0019866020,0.025012,11.2561718800,11.2761477375,-0.0199758575,-0.177466
0,1,38,76,77,2.7447184482288467,0.9811608019030259,0.916139227985102,0.08220398426055908,5.475833222585388,-1.5676184082947677,1.691524857450999,2.718864300946036,0.025854147282810692,4.488919615809184,0.19459753952508274,0.8628477452167046,0.5794142484664917,5.314183206037135,-1.143563188196109,2.3923750830909527,2.681226164085863,1.8076934517233212,0.42405522009865876,0.7008502256399538,isotropic_scatter,post,post_mean,intermediate,-1.143563188196109,-65.52134429016172,0.3581650247986608,20.521344290161732,0.4272331385987875,24.478655709838268,-0.7853981633974483,-45.0,0.3581650248,20.5213442902,8.0182665574,7.9656645391,0.0526020182,0.656027,0.3581650247986608,20.521344290161732,1.000000,8.000000,7.0114221919,6.8254950961,0.1859270958,2.651774,11.7865444948,11.7937064177,-0.0071619229,-0.060764
0,1,39,78,79,0.6898321812438474,0.9430594361171568,0.9868214580047215,0.06043589115142822,7.187160363463906,3.1221415779457944,2.9208263203487705,0.6701924645520407,0.019639716691806666,2.704570455775965,0.534239769888144,0.9483319263313162,0.48366695642471313,7.045603524003047,-2.81656749323744,1.9825307363547895,2.0747297768582618,0.6298406789177031,0.3444762359963518,0.938295583993981,elongated,post,post_mean,intermediate,-2.81656749323744,-161.37743007624735,0.460373003045095,26.37743007624734,0.325025160352354,18.622569923752703,-2.356194490192345,-135.0,0.4603730030,26.3774300762,8.0182665574,6.7375878064,1.2806787510,15.972015,0.460373003045095,26.37743007624734,1.000000,8.000000,7.0114221919,6.9075882153,0.1038339766,1.480926,11.7865444948,11.7838090998,0.0027353950,0.023208
0,1,41,82,83,0.22220999353088394,0.6917811228055407,0.9786092012697496,0.20051127672195435,3.1884010251722525,-1.6738911201824096,0.910243229825734,0.18796533617749128,0.03424465735339266,0.3995063203473621,0.4387464620895907,0.9615419631289761,0.2777611017227173,3.1604752421605005,-1.4452939990883826,-2.57050374620845,0.28739415249131833,0.1121121678560438,0.22859712109402697,0.3391543224443908,elongated,post,post_mean,axis_like,-1.4452939990883826,-82.80924630334897,0.6598958356909344,37.80924630334898,0.12550232770651393,7.190753696651025,-0.7853981633974483,-45.0,0.6598958357,37.8092463033,8.0182665574,7.9995651116,0.0187014458,0.233236,0.6598958356909344,37.80924630334898,1.000000,8.000000,7.0114221919,6.7904604357,0.2209617562,3.151454,11.7865444948,11.7902387140,-0.0036942193,-0.031343
0,1,63,126,127,0.8037815895038665,0.470464923788732,0.3911634770908099,0.5408070087432861,0.7186175639660551,-1.8412755549713338,1.1106869554509295,0.5909663168765297,0.21281527262733677,0.8037850155921367,0.4704488527369732,0.3911608562286101,0.5401653051376343,0.7186151413531294,-1.838750134628707,1.1132010756412283,0.590962377012549,0.21282263857958772,0.0025254203426268163,0.00251412019029873,elongated,post,post_mean,intermediate,-1.838750134628707,-105.35262229333684,0.5174443555636379,29.647377706663168,0.2679538078338104,15.35262229333683,-2.356194490192345,-135.0,-0.5174443556,-29.6473777067,8.0182665574,8.0058392262,0.0124273312,0.154988,-0.5174443555636379,-29.647377706663168,1.000000,8.000000,7.0114221919,6.9992841918,0.0121380001,0.173118,11.7865444948,11.7013363851,0.0852081097,0.722927
0,2,38,76,77,2.7216881048817285,0.9798047166311826,0.9282367352773934,0.1270456314086914,5.933315736639527,0.04954500854021322,3.029869295632707,2.6942054736224055,0.02748263125932289,4.76556651222846,0.15880386065597374,0.874345387340239,0.6466633677482605,5.758502522197277,0.4730816587404154,2.9886583543585448,2.761178436291661,2.004388075936799,0.4235366502002022,0.04121094127416214,isotropic_scatter,post,post_mean,intermediate,0.4730816587404154,27.105582410874096,0.31231650465703287,17.894417589125904,0.4730816587404154,27.105582410874096,0.7853981633974483,45.0,0.3903956308,22.3680219864,7.8644682897,7.8043815219,0.0600867678,0.764028,0.31231650465703287,17.894417589125904,1.250000,8.000000,7.1500402125,7.1158765194,0.0341636932,0.477811,12.8127332179,12.7799161155,0.0328171024,0.256129
