layer,head,pair,dim0,dim1,pre_spread,pre_anisotropy,pre_mean_compactness,pre_balance,pre_mu_norm,pre_mu_angle,pre_pca_angle,pre_lam1,pre_lam2,post_spread,post_anisotropy,post_mean_compactness,post_balance,post_mu_norm,post_mu_angle,post_pca_angle,post_lam1,post_lam2,mu_drift,pca_drift,shape_label,shape_source,orientation_source,orientation_label,base_angle_rad,base_angle_deg,diag_distance_rad,diag_distance_deg,axis_distance_rad,axis_distance_deg,target_diag_angle_rad,target_diag_angle_deg,suggested_alpha_rad,suggested_alpha_deg,orig_suggested_alpha_rad,orig_suggested_alpha_deg,residual_gamma,delta_phi_deg,delta_phi_rad,base_k_scale,base_q_scale,final_k_scale,final_q_scale,baseline_logit_mse,baseline_sink_logit_mse,baseline_attention_kl,baseline_margin_mse,baseline_top1_match_rate,baseline_attention_l1,best_logit_mse,best_sink_logit_mse,best_attention_kl,best_margin_mse,best_top1_match_rate,best_attention_l1,qk_loss_score,safe_override,strict_safe_override
0,1,38,76,77,2.7447184482288467,0.9811608019030259,0.916139227985102,0.08220398426055908,5.475833222585388,-1.5676184082947677,1.691524857450999,2.718864300946036,0.025854147282810692,4.488919615809184,0.19459753952508274,0.8628477452167046,0.5794142484664917,5.314183206037135,-1.143563188196109,2.3923750830909527,2.681226164085863,1.8076934517233212,0.42405522009865876,0.7008502256399538,isotropic_scatter,post,post_mean,intermediate,-1.143563188196109,-65.52134429016172,0.3581650247986608,20.521344290161732,0.4272331385987875,24.478655709838268,-0.7853981633974483,-45.0,0.2708985622,15.5213442902,0.3581650247986608,20.521344290161732,0.9000000000,-5.0000000000,-0.0872664626,0.9897948083,1.0103104115,0.8908153274,1.1225671238,8.3426509442,2.3326518507,1.0915567607,3.8135900378,0.7187500000,0.6642746486,8.3775002847,2.1413406536,0.7030437071,3.4323227779,0.8125000000,0.5906607267,5.0483210669,1,1
0,1,39,78,79,0.6898321812438474,0.9430594361171568,0.9868214580047215,0.06043589115142822,7.187160363463906,3.1221415779457944,2.9208263203487705,0.6701924645520407,0.019639716691806666,2.704570455775965,0.534239769888144,0.9483319263313162,0.48366695642471313,7.045603524003047,-2.81656749323744,1.9825307363547895,2.0747297768582618,0.6298406789177031,0.3444762359963518,0.938295583993981,elongated,post,post_mean,intermediate,-2.81656749323744,-161.37743007624735,0.460373003045095,26.37743007624734,0.325025160352354,18.622569923752703,-2.356194490192345,-135.0,0.5476394656,31.3774300762,0.460373003045095,26.37743007624734,0.9000000000,5.0000000000,0.0872664626,0.8235341703,1.2142786980,0.7411807532,1.3491985533,5.9194231446,6.8520963726,1.0930531239,4.6661663938,0.4687500000,0.7523563601,5.9274140792,3.0911548649,0.9049532082,3.9340376543,0.6562500000,0.6568464422,4.4225258254,1,1
0,2,36,72,73,5.345022808665145,0.9791371321026958,0.10687494152105906,0.31387847661972046,0.7997543098594143,-2.935283760813404,2.980240474681903,5.289266556283005,0.05575625238213938,5.42507245605817,0.7197710641807139,0.09349891600116751,0.5804321765899658,0.7480349600796207,-2.3017926749428863,-2.6709843917916993,4.664941315506679,0.7601311405514911,0.6334910858705176,0.6319604407059842,elongated,post,post_mean,already_diagonal,-2.3017926749428863,-131.8830055883556,0.05440181524945853,3.1169944116444155,0.7309963481479897,41.88300558835559,-2.356194490192345,-135.0,0.0328646474,1.8830055884,-0.05440181524945853,-3.1169944116444155,0.9000000000,5.0000000000,0.0872664626,1.3153113615,0.7602762580,1.1837802253,0.8447513978,11.8005641680,15.6791984104,1.5406630603,3.6355828250,0.5000000000,0.8744593347,11.8461898208,15.7214721053,1.4830808706,3.1341006938,0.5625000000,0.8342172750,5.8165716398,1,1
0,2,38,76,77,2.7216881048817285,0.9798047166311826,0.9282367352773934,0.1270456314086914,5.933315736639527,0.04954500854021322,3.029869295632707,2.6942054736224055,0.02748263125932289,4.76556651222846,0.15880386065597374,0.874345387340239,0.6466633677482605,5.758502522197277,0.4730816587404154,2.9886583543585448,2.761178436291661,2.004388075936799,0.4235366502002022,0.04121094127416214,isotropic_scatter,post,post_mean,intermediate,0.4730816587404154,27.105582410874096,0.31231650465703287,17.894417589125904,0.4730816587404154,27.105582410874096,0.7853981633974483,45.0,0.2250500421,12.8944175891,0.31231650465703287,17.894417589125904,0.9000000000,-5.0000000000,-0.0872664626,0.8796206622,1.1368536949,0.7916585960,1.2631707721,12.2300185302,9.4421200515,1.5457933299,3.0224104072,0.5000000000,0.8871001268,12.5250598929,4.7930889262,1.3611073818,1.3244185624,0.5937500000,0.7388221070,4.2586277751,1,1
0,2,41,82,83,3.782367269842095,0.9519831227587451,0.6487910406038445,0.3460383415222168,2.643330561533148,-1.638964647110077,1.300047434587549,3.691558537403897,0.09080873243819801,3.9051403343366626,0.8630823730375414,0.6373910021460857,0.3579832911491394,2.620004266340015,-1.411025380989663,1.5202081485290821,3.6377990605707153,0.2673412737659475,0.227939266120414,0.22016071394153314,elongated,post,post_mean,axis_like,-1.411025380989663,-80.8457991165467,0.6256272175922146,35.84579911654671,0.15977094580523366,9.154200883453292,-0.7853981633974483,-45.0,0.7128936802,40.8457991165,0.6256272175922146,35.84579911654671,0.9000000000,5.0000000000,0.0872664626,1.2145244453,0.8233675361,1.0930720007,0.9148528179,11.6435443687,13.3189727854,1.7491409958,3.6479357057,0.5000000000,0.8821980982,11.7237407842,11.8408407741,1.5171062678,2.7220926431,0.5625000000,0.7893305356,5.2858168188,1,1
0,3,41,82,83,1.969203845526844,0.9689772192643882,0.7365687044831549,0.3006356954574585,2.346487716090009,1.428930258433428,1.316339140865058,1.938658755965577,0.030545089561266975,2.0629926390659192,0.8478663024389749,0.7240220314231327,0.2944767475128174,2.3264167883253477,1.6578828065100097,1.541353608332247,1.9060672899552054,0.15692534911071393,0.22895254807658172,0.225014467467189,elongated,post,post_mean,axis_like,1.6578828065100097,94.98968774032764,0.6983116836823351,40.01031225967236,0.08708647971511319,4.989687740327641,2.356194490192345,135.0,0.6110452211,35.0103122597,0.6983116836823351,40.01031225967236,1.0000000000,-5.0000000000,-0.0872664626,1.6811130775,0.5948439837,1.6811130775,0.5948439837,4.2542811440,2.0120675399,0.2731163509,0.3953148215,0.8125000000,0.2926518846,4.2801177105,1.8777007006,0.1643585236,0.0315968725,0.8437500000,0.2045789533,4.1660192797,1,1
0,4,39,78,79,0.4817387715493309,0.9213757506188728,0.9889172036186918,0.05077999830245972,6.556334295802157,1.5503097884123183,1.4049295187707553,0.46280059689436537,0.01893817465496555,2.154199050550952,0.5836221677505521,0.9504408738468408,0.4807564616203308,6.427523119910116,1.894977809823257,-2.7710700250709803,1.7057186851001318,0.4484803654508202,0.3446680214109388,1.034406890251942,isotropic_scatter,post,post_mean,intermediate,1.894977809823257,108.57423077381698,0.4612166803690878,26.425769226183018,0.3241814830283605,18.574230773816982,2.356194490192345,135.0,0.5484831430,31.4257692262,0.4612166803690878,26.425769226183018,0.9000000000,5.0000000000,0.0872664626,0.9412237805,1.0624465942,0.8471014024,1.1804962158,5.3112531484,3.4812068199,0.1594297098,0.4340571970,0.5625000000,0.1560309106,4.6231359282,2.0650559921,0.1105473053,0.1247828492,0.5937500000,0.1422122390,3.7511084541,1,1
0,5,38,76,77,0.9585958557345642,0.9843296774750906,0.9630156030492799,0.04483950138092041,4.996031461168301,0.0027104514891270327,3.049826996614212,0.9510851026198552,0.007510753114708911,2.416890212421096,0.262285845000395,0.9067519012793626,0.5944556593894958,4.847889432402448,0.42504715660061587,2.153249618507741,1.5254031520297047,0.8914870603913911,0.42233670511148885,0.8965773781064708,isotropic_scatter,post,post_mean,intermediate,0.42504715660061587,24.353408167251462,0.3603510067968324,20.646591832748538,0.42504715660061587,24.353408167251462,0.7853981633974483,45.0,0.2730845442,15.6465918327,0.3603510067968324,20.646591832748538,1.0000000000,-5.0000000000,-0.0872664626,1.0807931607,0.9252464175,1.0807931607,0.9252464175,4.3930374958,2.0761397879,0.3147655317,0.3091055163,0.3437500000,0.2945669933,4.4381693441,1.9033157935,0.2315536996,0.2908540272,0.3750000000,0.2273032576,5.2660188112,1,1
1,1,40,80,81,0.20948613611954497,0.9525583667791603,0.9943126279340193,0.24235087633132935,6.051782351005889,-0.1372242252277698,2.978188836515991,0.20451695390270408,0.004969182216840899,1.1590202431472458,0.6447685298595157,0.9685335736698361,0.2891656160354614,5.97281604635957,0.1457365760592069,1.6240664203242656,0.9531600106996794,0.20586023244756652,0.28296080128697676,1.3541224161917254,isotropic_scatter,post,post_mean,axis_like,0.1457365760592069,8.35009072887987,0.6396615873382414,36.64990927112013,0.1457365760592069,8.35009072887987,0.7853981633974483,45.0,0.6396615873,36.6499092711,0.6396615873382414,36.64990927112013,1.1000000000,0.0000000000,0.0000000000,1.0623381929,0.9413198233,1.1685720122,0.8557452939,18.7134901684,15.3982280118,0.3466129045,5.6018562199,0.5625000000,0.2870640277,18.6722549317,18.6446137127,0.1741056254,4.6932612667,0.9062500000,0.2178839571,5.2718695399,1,1
1,3,43,86,87,3.672572325088737,0.831321964122906,0.38090583731869093,0.5040562152862549,1.5031960924392997,-0.24710226210575492,2.8400327108022774,3.3628311818828824,0.3097411432058548,3.677250878154662,0.8163574014156247,0.3801171191045356,0.43701380491256714,1.5016389455785244,-0.09425915608739546,2.992673420081219,3.339600924699571,0.3376499534550909,0.15284310601835946,0.1526407092789417,isotropic_scatter,post,post_mean,axis_like,-0.09425915608739546,-5.400651824272622,0.6911390073100528,39.59934817572738,0.09425915608739546,5.400651824272622,-0.7853981633974483,-45.0,-0.7784054699,-44.5993481757,-0.6911390073100528,-39.59934817572738,0.9000000000,-5.0000000000,-0.0872664626,0.9737598405,1.0269472599,0.8763838564,1.1410525110,14.0839778358,2.4865161844,0.0351461340,3.3510087973,0.6875000000,0.0527146342,14.0925323217,1.4233520064,0.0137352534,2.4045336647,0.7500000000,0.0275407294,3.6646271838,1,1
