layer,head,pair,dim0,dim1,pre_absmax_dim0,pre_absmax_dim1,pre_residual_gap,post_absmax_dim0,post_absmax_dim1,post_residual_gap,residual_improvement
0,0,32,64,65,3.302734375,3.4296875,0.037015945330296125,4.0310163497924805,4.0252604484558105,0.0014279032475187654,0.03558804208277736
0,0,33,66,67,2.68359375,6.41015625,0.5813528336380256,6.869991779327393,6.843984127044678,0.003785688996160797,0.5775671446418648
0,0,34,68,69,5.65625,3.57421875,0.3680939226519337,5.625211715698242,5.647217273712158,0.0038967082276703015,0.3641972144242634
0,0,35,70,71,4.16796875,5.1484375,0.19044006069802732,4.827497959136963,5.713019371032715,0.15500059677474548,0.035439463923281844
0,0,36,72,73,5.21484375,3.212890625,0.3838951310861423,4.967720031738281,4.941195964813232,0.005339283767118344,0.378555847319024
0,0,37,74,75,2.9921875,3.44140625,0.13053348467650397,4.052269458770752,3.348299741744995,0.17372233613489876,-0.043188851458394795
0,0,38,76,77,5.41796875,2.09765625,0.6128334534967556,5.407499313354492,5.445051670074463,0.0068966024558325565,0.605936851040923
0,0,39,78,79,3.142578125,6.64453125,0.5270429159318049,6.523231506347656,6.564188003540039,0.006239385156289726,0.5208035307755151
0,0,40,80,81,3.9765625,2.158203125,0.45726915520628686,3.931947708129883,3.8713972568511963,0.015399607465147494,0.44186954774113935
0,0,41,82,83,2.259765625,2.75,0.17826704545454544,2.359408378601074,2.8377115726470947,0.16855243452379703,0.009714610930748407
0,0,42,84,85,1.908203125,2.583984375,0.2615268329554044,2.629091501235962,2.5819907188415527,0.017915231315557726,0.2436116016398467
0,0,43,86,87,2.193359375,3.537109375,0.37990060739922693,2.3869025707244873,3.2966489791870117,0.2759609573861508,0.10393965001307615
0,0,44,88,89,1.3984375,1.76171875,0.20620842572062084,1.3339935541152954,1.9887166023254395,0.3292188778655367,-0.12301045214491588
0,0,45,90,91,1.322265625,2.13671875,0.3811700182815356,1.5718185901641846,2.09907865524292,0.2511864258929912,0.1299835923885444
0,0,46,92,93,2.044921875,2.9375,0.3038563829787234,2.1325135231018066,2.9262654781341553,0.2712508352244447,0.03260554775427871
0,0,47,94,95,2.318359375,2.228515625,0.038753159224936815,2.4998998641967773,2.191582441329956,0.1233319091226417,-0.08457874989770489
0,0,48,96,97,2.6484375,2.005859375,0.24262536873156343,2.6824755668640137,2.0058414936065674,0.2522423993775552,-0.009617030645991786
0,0,49,98,99,2.21875,2.208984375,0.0044014084507042256,2.27079176902771,2.1972196102142334,0.03239934185818285,-0.027997933407478623
0,0,50,100,101,1.94140625,2.337890625,0.1695906432748538,1.9442163705825806,2.299973726272583,0.15467887812203626,0.01491176515281753
0,0,51,102,103,2.80078125,2.71484375,0.030683403068340307,2.8798491954803467,2.714747905731201,0.05732983866247458,-0.026646435594134276
0,0,52,104,105,1.6484375,2.361328125,0.30190239867659224,1.6918805837631226,2.3447251319885254,0.2784311641986519,0.02347123447794036
0,0,53,106,107,1.798828125,2.646484375,0.3202952029520295,1.798729658126831,2.6801669597625732,0.3288740272038223,-0.008578824251792794
0,0,54,108,109,2.193359375,3.181640625,0.3106200122774708,2.1919941902160645,3.2160847187042236,0.31842772130106395,-0.0078077090235931235
