layer,head,pair,dim0,dim1,bucket_size,n_buckets,current_global_gap,best_global_alpha_deg,best_global_gap,global_gap_reduction,global_gap_reduction_pct,bucket_best_alpha_mean_deg,bucket_best_alpha_std_deg,bucket_best_alpha_min_deg,bucket_best_alpha_max_deg,bucket_best_alpha_range_deg,bucket_best_gap_mean,bucket_best_gap_median,bucket_consistent_flag
0,0,43,86,87,256,80,0.2759609520435333,15.0,0.0008768843254074454,0.2750840677181259,99.68224333228524,15.3125,27.424257278442383,-45.0,40.0,85.0,0.017774462699890137,0.014356526546180248,0
0,0,44,88,89,256,80,0.32921886444091797,-15.0,0.04589153826236725,0.2833273261785507,86.06047732401343,-10.9375,5.005856037139893,-25.0,0.0,25.0,0.02952289581298828,0.025158021599054337,0
0,0,45,90,91,256,80,0.25118643045425415,10.0,0.022862864658236504,0.22832356579601765,90.89804946195122,10.875,4.594493865966797,0.0,20.0,20.0,0.03488318994641304,0.03246727213263512,1
0,0,48,96,97,256,80,0.25224238634109497,-25.0,0.006286061834543943,0.24595632450655103,97.50792801886848,-18.3125,13.507954597473145,-40.0,10.0,50.0,0.024857286363840103,0.022321004420518875,0
0,0,52,104,105,256,80,0.2784311771392822,15.0,0.034087006002664566,0.24434417113661766,87.75747516751225,9.0625,3.5438106060028076,0.0,20.0,20.0,0.029105056077241898,0.03125452250242233,1
0,0,53,106,107,256,80,0.32887402176856995,-15.0,0.013773194514214993,0.31510082725435495,95.81201505666287,-10.9375,2.7492897510528564,-20.0,-5.0,15.0,0.031462155282497406,0.03225351870059967,1
0,0,54,108,109,256,80,0.318427711725235,-25.0,0.05241825431585312,0.26600945740938187,83.5384131513391,-19.4375,5.809138774871826,-25.0,-5.0,20.0,0.030512914061546326,0.029065348207950592,1
0,0,55,110,111,256,80,0.257419228553772,-15.0,0.03625835105776787,0.2211608774960041,85.91466874426052,-8.4375,3.7578043937683105,-15.0,0.0,15.0,0.024194061756134033,0.020399414002895355,1
0,0,56,112,113,256,80,0.2957320213317871,-25.0,0.003164398018270731,0.2925676233135164,98.92997788875877,-13.8125,8.776522636413574,-35.0,5.0,40.0,0.01882193423807621,0.01741703599691391,0
0,0,57,114,115,256,80,0.46173718571662903,-20.0,0.05304134637117386,0.40869583934545517,88.5126543817665,-20.3125,3.096747398376465,-25.0,-10.0,15.0,0.04093116521835327,0.04300670325756073,1
0,0,59,118,119,256,80,0.29545706510543823,25.0,0.009730493649840355,0.2857265714555979,96.7066302353041,11.875,34.02549743652344,-45.0,40.0,85.0,0.026441087946295738,0.023257706314325333,0
0,0,60,120,121,256,80,0.2716996371746063,35.0,0.020750492811203003,0.2509491443634033,92.36270867823507,22.875,16.970102310180664,-45.0,40.0,85.0,0.0312957763671875,0.020654436200857162,0
