layer,head,pair,dim0,dim1,shape_label,orientation_label,pre_anisotropy,post_anisotropy,post_balance,heuristic_alpha_deg,post_absmax_dim0,post_absmax_dim1,post_residual_gap,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent,support_count_234,bucket_best_alpha_mean_deg,bucket_best_alpha_std_deg,bucket_best_alpha_range_deg,best_global_alpha_deg,best_global_gap,global_gap_reduction,global_gap_reduction_pct,override_priority
1,3,47,94,95,elongated,already_diagonal,0.8542150787041968,0.852060176624426,0.6378059387207031,0.39249392093136887,5.937374114990234,1.8503973484039307,0.6883475232372191,1,1,1,0,2,-28.5,17.0,85.0,-40.0,0.018435170873999596,0.6699124071747065,97.32182236679634,high
1,1,60,120,121,elongated,already_diagonal,0.9663009165181785,0.9663939438387387,0.6768070459365845,5.8944868723759845,5.879528999328613,1.9632854461669922,0.6660811697006375,1,1,1,0,2,-32.75,20.231473922729492,85.0,-40.0,0.0041776481084525585,0.6619035420008004,99.37280196911621,high
0,7,54,108,109,isotropic_scatter,already_diagonal,0.8131137693977836,0.8129281901089671,0.3187233805656433,-14.071209128751805,2.1184208393096924,5.949493885040283,0.6439325965799612,1,1,1,1,3,-27.5,2.5,5.0,-30.0,0.07690197229385376,0.5670306086540222,88.05744971303469,high
0,4,49,98,99,elongated,already_diagonal,0.7461403023474337,0.7459636089801512,0.4787757992744446,14.551042654340383,3.513364553451538,1.310243010520935,0.6270688707114811,1,1,1,1,3,-42.375,2.847696542739868,15.0,-45.0,0.07564064860343933,0.5514282286167145,87.93742579941771,high
1,5,63,126,127,elongated,already_diagonal,0.9739697812538588,0.9738767176326076,0.7141097784042358,-9.369321721966463,7.0339460372924805,2.648040533065796,0.623534141571964,1,1,1,1,3,29.0,4.062019348144531,20.0,40.0,0.08147905021905899,0.542055033147335,86.93270305623675,high
1,2,57,114,115,elongated,already_diagonal,0.8051168404609614,0.8052115013647871,0.6612580418586731,10.61703547629261,3.30663800239563,1.2678908109664917,0.61656195505891,1,1,1,0,2,-15.25,29.978116989135742,85.0,40.0,0.02162817306816578,0.5949338357895613,96.49213335277742,high
1,1,47,94,95,elongated,already_diagonal,0.9725883109465938,0.9663492803670832,0.7277494668960571,-5.1789826200684645,1.9695768356323242,5.056056499481201,0.6104519726323427,1,1,1,1,3,-26.625,3.1399641036987305,10.0,-30.0,0.02216249145567417,0.5882895048707724,96.36949480236895,high
22,1,50,100,101,elongated,intermediate,0.6440292679114062,0.6404145699237274,0.5877965092658997,17.854535205378316,13.147504806518555,5.2929768562316895,0.5974158645215005,1,0,1,1,2,29.3125,3.7702577114105225,20.0,30.0,0.03673161193728447,0.5606842525303364,93.85158411050611,high
19,4,39,78,79,elongated,already_diagonal,0.7862817812732228,0.7188713146105515,0.5146048665046692,-9.509106837775732,3.1986477375030518,7.358241081237793,0.5652972358218821,1,1,1,0,2,-1.25,35.21807098388672,85.0,-45.0,0.016356538981199265,0.5489407069981098,97.10655958479622,high
1,3,54,108,109,elongated,already_diagonal,0.9838583263663122,0.9838649906156445,0.6619846224784851,13.916029760819976,2.852024555206299,6.481587886810303,0.559980578060197,1,1,1,0,2,-25.875,35.49449920654297,85.0,40.0,0.02154458686709404,0.538435984402895,96.15261886350223,high
0,7,53,106,107,isotropic_scatter,axis_like,0.8031662395312769,0.8028221935596724,0.6261847019195557,39.58196562736687,2.4618821144104004,5.523394584655762,0.5542809631508819,1,1,1,0,2,21.25,11.25,65.0,20.0,0.056607916951179504,0.49767301976680756,89.7871434499684,high
0,4,42,84,85,elongated,axis_like,0.914065498431699,0.891708032193497,0.5376983284950256,30.57840968667902,1.4365081787109375,3.183490514755249,0.5487631667024526,1,1,1,0,2,28.0625,19.613351821899414,85.0,35.0,0.05897776782512665,0.4897853881120682,89.2526006553041,high
0,3,55,110,111,elongated,intermediate,0.7926473037914575,0.7926716919612423,0.5314083099365234,28.730674719326448,3.439469575881958,1.5877197980880737,0.5383823688334425,1,1,1,0,2,3.5,39.7444953918457,85.0,35.0,0.06854874640703201,0.469833604991436,87.26764608294197,high
0,4,62,124,125,elongated,intermediate,0.8452884679233985,0.845227712247303,0.5931932330131531,27.33190730730925,1.0661463737487793,2.2908854484558105,0.5346138435392203,1,1,1,1,3,-35.6875,4.383473873138428,20.0,-40.0,0.016785699874162674,0.5178281478583813,96.8602197744492,high
0,5,61,122,123,elongated,axis_like,0.9447708838195538,0.9447663853255386,0.7546348571777344,35.40175291412912,4.132781505584717,1.9262052774429321,0.5339203694073811,1,1,1,0,2,-22.375,34.91932678222656,85.0,-45.0,0.04682547599077225,0.4870949313044548,91.22987708449202,high
13,6,54,108,109,elongated,already_diagonal,0.7196044605403157,0.7201029037491592,0.49203264713287354,-10.137666478214602,5.179943084716797,10.861117362976074,0.523074568517743,1,1,1,0,2,-33.0625,12.587040901184082,85.0,-35.0,0.022402573376893997,0.5006719939410686,95.71713580116081,high
0,2,48,96,97,elongated,intermediate,0.7029339149580399,0.7017140869914715,0.5981873273849487,18.306540881922892,5.336626052856445,2.5809073448181152,0.5163784534918506,1,1,1,0,2,-35.3125,15.193414688110352,80.0,35.0,0.04965590313076973,0.466722559183836,90.38381598872405,high
1,7,48,96,97,elongated,already_diagonal,0.8262707306317804,0.8249273576553721,0.6732804179191589,4.437346839490887,1.8383034467697144,3.7335219383239746,0.5076221655751266,1,1,1,0,2,-32.375,12.5741548538208,80.0,-45.0,0.027572600170969963,0.4800495821982622,94.56828304029584,high
0,4,45,90,91,elongated,already_diagonal,0.9682245941027259,0.961288445452375,0.5395939946174622,10.756572226014594,2.4854772090911865,1.2429494857788086,0.4999151546300871,1,1,1,1,3,-24.0625,4.478682041168213,15.0,-30.0,0.05578587204217911,0.4441292807459831,88.84093195994437,high
1,1,46,92,93,elongated,already_diagonal,0.9739454503819581,0.9600819239592224,0.7024974226951599,-11.18211056202006,4.825992107391357,2.4168388843536377,0.4992037221420082,1,1,1,1,3,-18.25,3.269174098968506,15.0,-20.0,0.052243418991565704,0.44696029275655746,89.53464933010645,high
0,3,61,122,123,elongated,intermediate,0.722902294744969,0.7229073758214852,0.5390817523002625,20.75828294343125,1.6226447820663452,3.2285079956054688,0.4974010334572403,1,1,1,0,2,29.0,24.70323944091797,85.0,35.0,0.0012643812224268913,0.49613664764910936,99.74580245133481,high
1,1,62,124,125,elongated,intermediate,0.9445892896808908,0.9444296925169184,0.5644737482070923,-21.094738888742018,4.373537540435791,2.24920654296875,0.485723736866648,1,1,1,1,3,34.875,3.9508702754974365,10.0,40.0,0.03905994072556496,0.4466637931764126,91.95840392402,high
15,1,51,102,103,elongated,already_diagonal,0.7015884382690555,0.7009464438511097,0.5116910338401794,6.228212261722589,4.661619186401367,9.021774291992188,0.4832924172644105,1,1,1,0,2,-1.9375,36.27579879760742,85.0,-40.0,0.045764971524477005,0.43752745911478996,90.53058384052443,high
