layer,head,pair,dim0,dim1,override_priority,search_window_deg,search_step_deg,search_grid_size,search_grid_min_deg,search_grid_max_deg,coarse_best_alpha_deg,coarse_best_alpha_rad,coarse_best_gap_csv,coarse_best_gap_recomputed,refined_best_alpha_deg,refined_best_alpha_rad,refined_best_gap,gap_at_zero_deg,refine_delta_deg,gap_improvement_vs_coarse,gap_improvement_vs_coarse_pct,gap_improvement_vs_zero,gap_improvement_vs_zero_pct,post_residual_gap,support_count_234,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent
1,3,47,94,95,high,5.0,0.5,21,-45.0,-35.0,-40.0,-0.6981317007977318,0.018435170873999596,0.018435170873999596,-39.5,-0.6894050545377601,0.0011523114517331123,0.688347578048706,0.5,0.017282859422266483,93.74938556518455,0.6871952665969729,99.83259744226898,0.6883475232372191,2,1,1,1,0
1,1,60,120,121,high,5.0,0.5,21,-45.0,-35.0,-40.0,-0.6981317007977318,0.0041776481084525585,0.0041776481084525585,-40.0,-0.6981317007977318,0.0041776481084525585,0.6660811901092529,0.0,0.0,0.0,0.6619035420008004,99.37280196911621,0.6660811697006375,2,1,1,1,0
0,7,54,108,109,high,5.0,0.5,21,-35.0,-25.0,-30.0,-0.5235987755982988,0.07690197229385376,0.07690197229385376,-27.5,-0.4799655442984406,0.004593746270984411,0.643932580947876,2.5,0.07230822602286935,94.02649095470396,0.6393388346768916,99.2866106783691,0.6439325965799612,3,1,1,1,1
0,4,49,98,99,high,5.0,0.5,21,-45.0,44.5,-45.0,-0.7853981633974483,0.07564064860343933,0.07564064860343933,-42.5,-0.7417649320975901,0.0013265563175082207,0.6270688772201538,2.5,0.07431409228593111,98.2462388385074,0.6257423209026456,99.78845125859397,0.6270688707114811,3,1,1,1,1
1,5,63,126,127,high,5.0,0.5,21,35.0,45.0,40.0,0.6981317007977318,0.08147905021905899,0.08147905021905899,37.5,0.6544984694978736,0.0023751426488161087,0.623534083366394,-2.5,0.07910390757024288,97.08496522427487,0.6211589407175779,99.61908374984203,0.623534141571964,3,1,1,1,1
1,2,57,114,115,high,5.0,0.5,21,35.0,45.0,40.0,0.6981317007977318,0.02162817306816578,0.02162817306816578,41.0,0.7155849933176751,0.000566866947337985,0.616562008857727,1.0,0.021061306120827794,97.37903453263768,0.6159951419103891,99.90806002653518,0.61656195505891,2,1,1,1,0
1,1,47,94,95,high,5.0,0.5,21,-35.0,-25.0,-30.0,-0.5235987755982988,0.02216249145567417,0.02216249145567417,-29.5,-0.5148721293383273,0.007305894047021866,0.6104519963264465,0.5,0.014856597408652306,67.03487032749034,0.6031461022794247,98.80319925383372,0.6104519726323427,3,1,1,1,1
22,1,50,100,101,high,5.0,0.5,21,25.0,35.0,30.0,0.5235987755982988,0.03673161193728447,0.03673161193728447,28.5,0.49741883681838395,0.0012146453373134136,0.5974158644676208,-1.5,0.035516966599971056,96.69318803817458,0.5962012191303074,99.79668344790345,0.5974158645215005,2,1,0,1,1
19,4,39,78,79,high,5.0,0.5,21,-45.0,44.5,-45.0,-0.7853981633974483,0.016356538981199265,0.016356538981199265,44.0,0.767944870877505,0.002749771112576127,0.5652972459793091,-1.0,0.013606767868623137,83.1885515894481,0.562547474866733,99.51357075730796,0.5652972358218821,2,1,1,1,0
1,3,54,108,109,high,5.0,0.5,21,35.0,45.0,40.0,0.6981317007977318,0.02154458686709404,0.02154458686709404,40.5,0.7068583470577035,0.006392050068825483,0.559980571269989,0.5,0.015152536798268557,70.33106223731617,0.5535885212011635,98.85852288511924,0.559980578060197,2,1,1,1,0
