layer,head,pair,dim0,dim1,override_priority,search_window_deg,search_step_deg,search_grid_size,search_grid_min_deg,search_grid_max_deg,coarse_best_alpha_deg,coarse_best_alpha_rad,coarse_best_gap_csv,coarse_best_gap_recomputed,refined_best_alpha_deg,refined_best_alpha_rad,refined_best_gap,gap_at_zero_deg,refine_delta_deg,gap_improvement_vs_coarse,gap_improvement_vs_coarse_pct,gap_improvement_vs_zero,gap_improvement_vs_zero_pct,post_residual_gap,support_count_234,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent
1,3,47,94,95,high,10.0,1.0,21,-45.0,44.0,-40.0,-0.6981317007977318,0.018435170873999596,0.018435170873999596,-39.0,-0.6806784082777885,0.016169020906090736,0.688347578048706,1.0,0.0022661499679088593,12.292535737246505,0.6721785571426153,97.65103830946484,0.6883475232372191,2,1,1,1,0
1,1,60,120,121,high,10.0,1.0,21,-45.0,44.0,-40.0,-0.6981317007977318,0.0041776481084525585,0.0041776481084525585,-40.0,-0.6981317007977318,0.0041776481084525585,0.6660811901092529,0.0,0.0,0.0,0.6619035420008004,99.37280196911621,0.6660811697006375,2,1,1,1,0
0,7,54,108,109,high,10.0,1.0,21,-40.0,-20.0,-30.0,-0.5235987755982988,0.07690197229385376,0.07690197229385376,-28.0,-0.4886921905584123,0.012227836064994335,0.643932580947876,2.0,0.06467413622885942,84.09945063792385,0.6317047448828816,98.10106889653031,0.6439325965799612,3,1,1,1,1
1,2,57,114,115,high,10.0,1.0,21,-44.0,45.0,40.0,0.6981317007977318,0.02162817306816578,0.02162817306816578,41.0,0.7155849933176751,0.000566866947337985,0.616562008857727,1.0,0.021061306120827794,97.37903453263768,0.6159951419103891,99.90806002653518,0.61656195505891,2,1,1,1,0
0,4,49,98,99,high,10.0,1.0,21,-45.0,44.0,-45.0,-0.7853981633974483,0.07564064860343933,0.07564064860343933,-43.0,-0.7504915783575618,0.01454484835267067,0.6270688772201538,2.0,0.06109580025076866,80.77112158447393,0.6125240288674831,97.68050227318741,0.6270688707114811,3,1,1,1,1
1,5,63,126,127,high,10.0,1.0,21,-44.0,45.0,40.0,0.6981317007977318,0.08147905021905899,0.08147905021905899,38.0,0.6632251157578453,0.014962727203965187,0.623534083366394,-2.0,0.0665163230150938,81.63610503100193,0.6085713561624289,97.60033531396022,0.623534141571964,3,1,1,1,1
1,1,47,94,95,high,10.0,1.0,21,-40.0,-20.0,-30.0,-0.5235987755982988,0.02216249145567417,0.02216249145567417,-29.0,-0.5061454830783556,0.007693370338529348,0.6104519963264465,1.0,0.014469121117144823,65.28652767259321,0.6027586259879172,98.73972558287528,0.6104519726323427,3,1,1,1,1
22,1,50,100,101,high,10.0,1.0,21,20.0,40.0,30.0,0.5235987755982988,0.03673161193728447,0.03673161193728447,29.0,0.5061454830783556,0.012372459284961224,0.5974158644676208,-1.0,0.024359152652323246,66.31659044507506,0.5850434051826596,97.9290038948017,0.5974158645215005,2,1,0,1,1
19,4,39,78,79,high,10.0,1.0,21,-45.0,44.0,-45.0,-0.7853981633974483,0.016356538981199265,0.016356538981199265,44.0,0.767944870877505,0.002749771112576127,0.5652972459793091,-1.0,0.013606767868623137,83.1885515894481,0.562547474866733,99.51357075730796,0.5652972358218821,2,1,1,1,0
1,3,54,108,109,high,10.0,1.0,21,-44.0,45.0,40.0,0.6981317007977318,0.02154458686709404,0.02154458686709404,41.0,0.7155849933176751,0.008908445946872234,0.559980571269989,1.0,0.012636140920221806,58.65111732321736,0.5510721253231168,98.40915088774086,0.559980578060197,2,1,1,1,0
